BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;GEMEENTENAAM VESTIGING;PROVINCIE VESTIGING;ONDERWIJSTYPE VO;LEERWEG VMBO;VMBO SECTOR;AFDELING;EXAMENKANDIDATEN;GESLAAGDEN;GEZAKTEN;GEMIDDELD CIJFER SCHOOLEXAMEN;GEMIDDELD CIJFER CENTRAAL EXAMEN;GEMIDDELD CIJFER CIJFERLIJST
02EB;02EB00;Chr SGM Vincent van Gogh;ASSEN;Drenthe;HAVO;;;Natuur en Techniek;15;14;1;6,5;6,9;6,6
02EB;02EB00;Chr SGM Vincent van Gogh;ASSEN;Drenthe;HAVO;;;Natuur en Techniek / Natuur en Gezondheid;13;12;1;6,8;6,8;6,8
02EB;02EB00;Chr SGM Vincent van Gogh;ASSEN;Drenthe;VMBO;TL;;;8;6;2;6,4;6,4;6,6
02EB;02EB00;Chr SGM Vincent van Gogh;ASSEN;Drenthe;VWO;;;Cultuur en Maatschappij;11;11;0;7,0;6,9;7,1
02EB;02EB00;Chr SGM Vincent van Gogh;ASSEN;Drenthe;VWO;;;Economie en Maatschappij;11;10;1;6,6;6,7;6,7
02EB;02EB00;Chr SGM Vincent van Gogh;ASSEN;Drenthe;VWO;;;Economie en Maatschappij / Cultuur en Maatschappij;5;5;0;6,6;6,4;6,7
02EB;02EB00;Chr SGM Vincent van Gogh;ASSEN;Drenthe;VWO;;;Natuur en Gezondheid;18;18;0;6,5;6,6;6,7
02EB;02EB00;Chr SGM Vincent van Gogh;ASSEN;Drenthe;VWO;;;Natuur en Techniek;23;21;2;6,7;6,8;6,8
02EB;02EB00;Chr SGM Vincent van Gogh;ASSEN;Drenthe;VWO;;;Natuur en Techniek / Natuur en Gezondheid;21;17;4;6,9;6,9;7,1
02EB;02EB04;Chr SGM Vincent van Gogh;ASSEN;Drenthe;VMBO;BL;Intersect. programma;Dienstverlening & Commercie;19;18;1;6,6;6,8;6,7
02EB;02EB04;Chr SGM Vincent van Gogh;ASSEN;Drenthe;VMBO;BL;Intersect. programma;Sport, Dienstverlening en Veiligheid;13;12;1;6,1;6,5;6,3
02EB;02EB04;Chr SGM Vincent van Gogh;ASSEN;Drenthe;VMBO;BL;Intersect. programma;Techniek & Commercie;8;8;0;6,5;6,7;6,6
02EB;02EB04;Chr SGM Vincent van Gogh;ASSEN;Drenthe;VMBO;KL;Intersect. programma;Dienstverlening & Commercie;35;32;3;6,5;6,2;6,4
02EB;02EB04;Chr SGM Vincent van Gogh;ASSEN;Drenthe;VMBO;KL;Intersect. programma;Sport, Dienstverlening en Veiligheid;25;23;2;6,3;6,1;6,3
02EB;02EB04;Chr SGM Vincent van Gogh;ASSEN;Drenthe;VMBO;KL;Intersect. programma;Techniek & Commercie;31;28;3;6,5;6,4;6,5
02EB;02EB04;Chr SGM Vincent van Gogh;ASSEN;Drenthe;VMBO;TL;;;95;91;4;6,4;6,2;6,4
02EB;02EB07;Chr SGM Vincent van Gogh;MIDDEN-DRENTHE;Drenthe;VMBO;BL;Zorg & Welzijn;ZWE;10;10;0;7,0;7,3;7,2
02EB;02EB07;Chr SGM Vincent van Gogh;MIDDEN-DRENTHE;Drenthe;VMBO;KL;Zorg & Welzijn;ZWE;16;16;0;6,5;6,5;6,5
02EB;02EB07;Chr SGM Vincent van Gogh;MIDDEN-DRENTHE;Drenthe;VMBO;TL;;;67;63;4;6,3;6,2;6,4
02EK;02EK00;Pius X College;ALMELO;Overijssel;HAVO;;;Cultuur en Maatschappij;5;5;0;6,5;6,3;6,5
02EK;02EK00;Pius X College;ALMELO;Overijssel;HAVO;;;Economie en Maatschappij;23;22;1;6,4;6,6;6,5
02EK;02EK00;Pius X College;ALMELO;Overijssel;HAVO;;;Economie en Maatschappij / Cultuur en Maatschappij;5;4;1;6,4;6,4;6,5
02EK;02EK00;Pius X College;ALMELO;Overijssel;HAVO;;;Natuur en Gezondheid;17;14;3;6,2;6,2;6,2
02EK;02EK00;Pius X College;ALMELO;Overijssel;HAVO;;;Natuur en Techniek;10;10;0;6,3;6,6;6,4
02EK;02EK00;Pius X College;ALMELO;Overijssel;HAVO;;;Natuur en Techniek / Natuur en Gezondheid;9;8;1;6,6;6,9;6,8
02EK;02EK00;Pius X College;ALMELO;Overijssel;VWO;;;Cultuur en Maatschappij;1;1;0;6,2;6,0;6,1
02EK;02EK00;Pius X College;ALMELO;Overijssel;VWO;;;Economie en Maatschappij;5;4;1;6,4;5,9;6,3
02EK;02EK00;Pius X College;ALMELO;Overijssel;VWO;;;Economie en Maatschappij / Cultuur en Maatschappij;7;6;1;7,0;6,6;6,8
02EK;02EK00;Pius X College;ALMELO;Overijssel;VWO;;;Natuur en Gezondheid;9;8;1;6,3;6,1;6,3
02EK;02EK00;Pius X College;ALMELO;Overijssel;VWO;;;Natuur en Techniek;7;7;0;6,7;6,6;6,7
02EK;02EK00;Pius X College;ALMELO;Overijssel;VWO;;;Natuur en Techniek / Natuur en Gezondheid;14;13;1;6,6;6,5;6,6
02EK;02EK01;Pius X College;ALMELO;Overijssel;VMBO;BL;Economie;Handel en Administratie -ISP;7;7;0;6,5;6,9;6,8
02EK;02EK01;Pius X College;ALMELO;Overijssel;VMBO;BL;Intersect. programma;Techniek & Dienstverlening;2;2;0;6,5;6,4;6,5
02EK;02EK01;Pius X College;ALMELO;Overijssel;VMBO;BL;Techniek;Bouwtechniek;2;2;0;6,2;6,9;6,7
02EK;02EK01;Pius X College;ALMELO;Overijssel;VMBO;BL;Techniek;Elektrotechniek;3;3;0;6,4;6,7;6,5
02EK;02EK01;Pius X College;ALMELO;Overijssel;VMBO;BL;Techniek;MVI;10;10;0;6,5;7,1;6,8
02EK;02EK01;Pius X College;ALMELO;Overijssel;VMBO;BL;Techniek;Metaaltechniek;2;2;0;6,3;6,8;6,8
02EK;02EK01;Pius X College;ALMELO;Overijssel;VMBO;BL;Zorg & Welzijn;Verzorging;16;16;0;6,4;6,9;6,7
02EK;02EK01;Pius X College;ALMELO;Overijssel;VMBO;GL;Economie;Handel en Administratie -ISP;1;1;0;6,4;6,3;6,4
02EK;02EK01;Pius X College;ALMELO;Overijssel;VMBO;GL;Techniek;Elektrotechniek;3;3;0;6,8;6,9;6,9
02EK;02EK01;Pius X College;ALMELO;Overijssel;VMBO;GL;Techniek;MVI;3;3;0;6,3;6,2;6,4
02EK;02EK01;Pius X College;ALMELO;Overijssel;VMBO;KL;Economie;Handel en Administratie -ISP;13;13;0;6,4;6,6;6,5
02EK;02EK01;Pius X College;ALMELO;Overijssel;VMBO;KL;Intersect. programma;Techniek & Dienstverlening;12;12;0;6,7;6,8;6,8
02EK;02EK01;Pius X College;ALMELO;Overijssel;VMBO;KL;Techniek;Bouwtechniek;6;6;0;6,6;6,7;6,8
02EK;02EK01;Pius X College;ALMELO;Overijssel;VMBO;KL;Techniek;Elektrotechniek;12;12;0;6,5;6,7;6,7
02EK;02EK01;Pius X College;ALMELO;Overijssel;VMBO;KL;Techniek;MVI;14;14;0;6,4;6,4;6,5
02EK;02EK01;Pius X College;ALMELO;Overijssel;VMBO;KL;Techniek;Metaaltechniek;1;1;0;6,3;5,8;6,2
02EK;02EK01;Pius X College;ALMELO;Overijssel;VMBO;KL;Zorg & Welzijn;Verzorging;7;7;0;6,5;6,6;6,6
02EK;02EK01;Pius X College;ALMELO;Overijssel;VMBO;TL;;;37;36;1;6,5;6,4;6,6
02EK;02EK02;Pius X College;RIJSSEN-HOLTEN;Overijssel;VMBO;GL;Intersect. programma;Techniek & Dienstverlening;1;1;0;5,9;6,4;6,1
02EK;02EK02;Pius X College;RIJSSEN-HOLTEN;Overijssel;VMBO;TL;;;66;61;5;6,4;6,3;6,5
02EV;02EV00;W De Zwijgercoll Chr SGM;GOOISE MEREN;Noord-Holland;HAVO;;;Cultuur en Maatschappij;2;2;0;7,0;7,4;7,4
02EV;02EV00;W De Zwijgercoll Chr SGM;GOOISE MEREN;Noord-Holland;HAVO;;;Economie en Maatschappij;32;31;1;6,3;6,7;6,7
02EV;02EV00;W De Zwijgercoll Chr SGM;GOOISE MEREN;Noord-Holland;HAVO;;;Economie en Maatschappij / Cultuur en Maatschappij;12;11;1;6,4;6,7;6,8
02EV;02EV00;W De Zwijgercoll Chr SGM;GOOISE MEREN;Noord-Holland;HAVO;;;Natuur en Gezondheid;7;5;2;6,3;6,1;6,4
02EV;02EV00;W De Zwijgercoll Chr SGM;GOOISE MEREN;Noord-Holland;HAVO;;;Natuur en Techniek;6;6;0;5,9;6,3;6,4
02EV;02EV00;W De Zwijgercoll Chr SGM;GOOISE MEREN;Noord-Holland;HAVO;;;Natuur en Techniek / Natuur en Gezondheid;8;8;0;6,3;6,5;6,5
02EV;02EV00;W De Zwijgercoll Chr SGM;GOOISE MEREN;Noord-Holland;VWO;;;Cultuur en Maatschappij;6;6;0;6,5;6,1;6,4
02EV;02EV00;W De Zwijgercoll Chr SGM;GOOISE MEREN;Noord-Holland;VWO;;;Economie en Maatschappij;33;29;4;6,3;6,2;6,5
02EV;02EV00;W De Zwijgercoll Chr SGM;GOOISE MEREN;Noord-Holland;VWO;;;Economie en Maatschappij / Cultuur en Maatschappij;20;20;0;6,4;6,3;6,7
02EV;02EV00;W De Zwijgercoll Chr SGM;GOOISE MEREN;Noord-Holland;VWO;;;Natuur en Gezondheid;12;9;3;6,4;6,3;6,8
02EV;02EV00;W De Zwijgercoll Chr SGM;GOOISE MEREN;Noord-Holland;VWO;;;Natuur en Techniek;1;1;0;5,8;6,4;6,3
02EV;02EV00;W De Zwijgercoll Chr SGM;GOOISE MEREN;Noord-Holland;VWO;;;Natuur en Techniek / Natuur en Gezondheid;35;34;1;6,5;6,5;6,8
02EX;02EX00;loc, Morgen College;HARDERWIJK;Gelderland;VMBO;BL;Economie;Consumptief Breed -ISP;10;10;0;6,3;6,7;6,5
02EX;02EX00;loc, Morgen College;HARDERWIJK;Gelderland;VMBO;BL;Intersect. programma;ICT -route;3;3;0;6,8;7,9;7,3
02EX;02EX00;loc, Morgen College;HARDERWIJK;Gelderland;VMBO;BL;Intersect. programma;Sport, Dienstverlening en Veiligheid;9;9;0;6,3;7,0;6,7
02EX;02EX00;loc, Morgen College;HARDERWIJK;Gelderland;VMBO;BL;Techniek;Bouwtechniek;6;6;0;6,5;7,6;7,1
02EX;02EX00;loc, Morgen College;HARDERWIJK;Gelderland;VMBO;BL;Techniek;Voertuigentechniek;10;10;0;6,3;7,0;6,7
02EX;02EX00;loc, Morgen College;HARDERWIJK;Gelderland;VMBO;BL;Zorg & Welzijn;Uiterlijke Verzorging;4;4;0;6,1;6,7;6,5
02EX;02EX00;loc, Morgen College;HARDERWIJK;Gelderland;VMBO;BL;Zorg & Welzijn;Verzorging;10;9;1;6,2;7,0;6,6
02EX;02EX00;loc, Morgen College;HARDERWIJK;Gelderland;VMBO;KL;Economie;Consumptief Breed -ISP;18;17;1;6,3;6,2;6,4
02EX;02EX00;loc, Morgen College;HARDERWIJK;Gelderland;VMBO;KL;Intersect. programma;ICT -route;6;6;0;6,9;6,8;6,9
02EX;02EX00;loc, Morgen College;HARDERWIJK;Gelderland;VMBO;KL;Intersect. programma;Sport, Dienstverlening en Veiligheid;18;18;0;6,5;6,1;6,4
02EX;02EX00;loc, Morgen College;HARDERWIJK;Gelderland;VMBO;KL;Techniek;Bouwtechniek;11;10;1;6,3;6,1;6,3
02EX;02EX00;loc, Morgen College;HARDERWIJK;Gelderland;VMBO;KL;Techniek;Elektrotechniek;6;6;0;6,8;7,2;7,0
02EX;02EX00;loc, Morgen College;HARDERWIJK;Gelderland;VMBO;KL;Techniek;Metaaltechniek;3;3;0;6,4;6,9;6,8
02EX;02EX00;loc, Morgen College;HARDERWIJK;Gelderland;VMBO;KL;Techniek;Voertuigentechniek;8;8;0;6,9;6,7;6,9
02EX;02EX00;loc, Morgen College;HARDERWIJK;Gelderland;VMBO;KL;Zorg & Welzijn;Uiterlijke Verzorging;9;8;1;6,7;6,0;6,4
02EX;02EX00;loc, Morgen College;HARDERWIJK;Gelderland;VMBO;KL;Zorg & Welzijn;Verzorging;9;7;2;6,6;6,1;6,5
02EX;02EX05;loc, Morgen College;HARDERWIJK;Gelderland;VMBO;TL;;;54;51;3;6,4;6,4;6,6
02FB;02FB00;CCNV;HARDERWIJK;Gelderland;HAVO;;;Cultuur en Maatschappij;23;15;8;6,3;5,9;6,3
02FB;02FB00;CCNV;HARDERWIJK;Gelderland;HAVO;;;Economie en Maatschappij;50;44;6;6,4;6,4;6,5
02FB;02FB00;CCNV;HARDERWIJK;Gelderland;HAVO;;;Economie en Maatschappij / Cultuur en Maatschappij;8;7;1;6,7;6,2;6,6
02FB;02FB00;CCNV;HARDERWIJK;Gelderland;HAVO;;;Natuur en Gezondheid;18;15;3;6,4;6,3;6,4
02FB;02FB00;CCNV;HARDERWIJK;Gelderland;HAVO;;;Natuur en Techniek;17;14;3;6,2;6,4;6,4
02FB;02FB00;CCNV;HARDERWIJK;Gelderland;HAVO;;;Natuur en Techniek / Natuur en Gezondheid;12;12;0;6,9;6,9;6,9
02FB;02FB00;CCNV;HARDERWIJK;Gelderland;VWO;;;Cultuur en Maatschappij;5;5;0;6,7;6,5;6,7
02FB;02FB00;CCNV;HARDERWIJK;Gelderland;VWO;;;Economie en Maatschappij;24;22;2;6,7;6,5;6,9
02FB;02FB00;CCNV;HARDERWIJK;Gelderland;VWO;;;Economie en Maatschappij / Cultuur en Maatschappij;12;12;0;6,9;6,5;6,9
02FB;02FB00;CCNV;HARDERWIJK;Gelderland;VWO;;;Natuur en Gezondheid;16;15;1;6,5;6,4;6,7
02FB;02FB00;CCNV;HARDERWIJK;Gelderland;VWO;;;Natuur en Techniek;2;2;0;7,1;6,9;7,1
02FB;02FB00;CCNV;HARDERWIJK;Gelderland;VWO;;;Natuur en Techniek / Natuur en Gezondheid;30;28;2;6,8;6,5;6,9
02FC;02FC00;PC College Ulenhof;DOETINCHEM;Gelderland;HAVO;;;Cultuur en Maatschappij;18;17;1;6,4;6,3;6,4
02FC;02FC00;PC College Ulenhof;DOETINCHEM;Gelderland;HAVO;;;Economie en Maatschappij;50;39;11;6,2;6,3;6,3
02FC;02FC00;PC College Ulenhof;DOETINCHEM;Gelderland;HAVO;;;Economie en Maatschappij / Cultuur en Maatschappij;8;7;1;6,4;5,9;6,3
02FC;02FC00;PC College Ulenhof;DOETINCHEM;Gelderland;HAVO;;;Natuur en Gezondheid;31;23;8;6,1;6,1;6,3
02FC;02FC00;PC College Ulenhof;DOETINCHEM;Gelderland;HAVO;;;Natuur en Techniek;7;5;2;6,2;6,3;6,4
02FC;02FC00;PC College Ulenhof;DOETINCHEM;Gelderland;HAVO;;;Natuur en Techniek / Natuur en Gezondheid;20;19;1;6,6;6,6;6,7
02FC;02FC00;PC College Ulenhof;DOETINCHEM;Gelderland;VMBO;TL;;;76;73;3;6,5;6,4;6,5
02FC;02FC00;PC College Ulenhof;DOETINCHEM;Gelderland;VWO;;;Cultuur en Maatschappij;7;6;1;6,3;6,1;6,4
02FC;02FC00;PC College Ulenhof;DOETINCHEM;Gelderland;VWO;;;Economie en Maatschappij;23;22;1;6,5;6,3;6,5
02FC;02FC00;PC College Ulenhof;DOETINCHEM;Gelderland;VWO;;;Economie en Maatschappij / Cultuur en Maatschappij;19;18;1;6,6;6,4;6,6
02FC;02FC00;PC College Ulenhof;DOETINCHEM;Gelderland;VWO;;;Natuur en Gezondheid;9;7;2;6,2;6,0;6,3
02FC;02FC00;PC College Ulenhof;DOETINCHEM;Gelderland;VWO;;;Natuur en Techniek;13;12;1;6,5;6,8;6,7
02FC;02FC00;PC College Ulenhof;DOETINCHEM;Gelderland;VWO;;;Natuur en Techniek / Natuur en Gezondheid;21;21;0;6,6;6,7;6,8
02FC;02FC04;PC College Ulenhof;BRONCKHORST;Gelderland;VMBO;BL;Intersect. programma;Dienstverlening & Commercie;34;34;0;6,5;7,0;6,9
02FC;02FC04;PC College Ulenhof;BRONCKHORST;Gelderland;VMBO;GL;Intersect. programma;Dienstverlening & Commercie;1;1;0;7,0;6,6;6,9
02FC;02FC04;PC College Ulenhof;BRONCKHORST;Gelderland;VMBO;KL;Intersect. programma;Dienstverlening & Commercie;8;8;0;6,4;6,2;6,4
02FC;02FC04;PC College Ulenhof;BRONCKHORST;Gelderland;VMBO;TL;;;8;8;0;7,3;7,0;7,3
02FC;02FC07;PC College Ulenhof;BRONCKHORST;Gelderland;VMBO;BL;Intersect. programma;Dienstverlening & Commercie;11;11;0;6,6;7,0;6,9
02FC;02FC07;PC College Ulenhof;BRONCKHORST;Gelderland;VMBO;GL;Intersect. programma;Dienstverlening & Commercie;4;4;0;6,2;5,8;6,2
02FC;02FC07;PC College Ulenhof;BRONCKHORST;Gelderland;VMBO;KL;Intersect. programma;Dienstverlening & Commercie;57;54;3;6,2;6,3;6,4
02FC;02FC07;PC College Ulenhof;BRONCKHORST;Gelderland;VMBO;TL;;;10;10;0;6,7;6,4;6,7
02FY;02FY00;OMO Scholengr. Bergen op Zoom;BERGEN OP ZOOM;Noord-Brabant;HAVO;;;Cultuur en Maatschappij;7;5;2;6,1;5,7;6,3
02FY;02FY00;OMO Scholengr. Bergen op Zoom;BERGEN OP ZOOM;Noord-Brabant;HAVO;;;Economie en Maatschappij;27;21;6;6,4;6,1;6,5
02FY;02FY00;OMO Scholengr. Bergen op Zoom;BERGEN OP ZOOM;Noord-Brabant;HAVO;;;Natuur en Gezondheid;18;12;6;6,2;5,7;6,3
02FY;02FY00;OMO Scholengr. Bergen op Zoom;BERGEN OP ZOOM;Noord-Brabant;HAVO;;;Natuur en Techniek / Natuur en Gezondheid;11;11;0;6,3;6,3;6,5
02FY;02FY00;OMO Scholengr. Bergen op Zoom;BERGEN OP ZOOM;Noord-Brabant;VMBO;TL;;;1;0;1;6,1;4,7;5,9
02FY;02FY00;OMO Scholengr. Bergen op Zoom;BERGEN OP ZOOM;Noord-Brabant;VWO;;;Cultuur en Maatschappij;2;2;0;6,9;6,5;6,9
02FY;02FY00;OMO Scholengr. Bergen op Zoom;BERGEN OP ZOOM;Noord-Brabant;VWO;;;Economie en Maatschappij;10;8;2;6,7;6,1;6,7
02FY;02FY00;OMO Scholengr. Bergen op Zoom;BERGEN OP ZOOM;Noord-Brabant;VWO;;;Economie en Maatschappij / Cultuur en Maatschappij;7;6;1;6,6;5,7;6,4
02FY;02FY00;OMO Scholengr. Bergen op Zoom;BERGEN OP ZOOM;Noord-Brabant;VWO;;;Natuur en Gezondheid;7;4;3;6,5;5,7;6,5
02FY;02FY00;OMO Scholengr. Bergen op Zoom;BERGEN OP ZOOM;Noord-Brabant;VWO;;;Natuur en Techniek;6;5;1;7,0;6,4;7,2
02FY;02FY00;OMO Scholengr. Bergen op Zoom;BERGEN OP ZOOM;Noord-Brabant;VWO;;;Natuur en Techniek / Natuur en Gezondheid;13;8;5;6,6;5,8;6,7
02FY;02FY01;OMO Scholengr. Bergen op Zoom;WOENSDRECHT;Noord-Brabant;VMBO;BL;Economie;HBR;7;7;0;6,7;6,6;6,7
02FY;02FY01;OMO Scholengr. Bergen op Zoom;WOENSDRECHT;Noord-Brabant;VMBO;BL;Techniek;Techniek Breed -ISP;10;10;0;6,3;6,4;6,5
02FY;02FY01;OMO Scholengr. Bergen op Zoom;WOENSDRECHT;Noord-Brabant;VMBO;BL;Zorg & Welzijn;Zorg en Welzijn -ISP;3;3;0;6,7;7,0;6,9
02FY;02FY01;OMO Scholengr. Bergen op Zoom;WOENSDRECHT;Noord-Brabant;VMBO;GL;Economie;HBR;2;2;0;5,7;5,5;5,9
02FY;02FY01;OMO Scholengr. Bergen op Zoom;WOENSDRECHT;Noord-Brabant;VMBO;GL;Economie;Handel en Verkoop;3;2;1;5,9;5,3;5,7
02FY;02FY01;OMO Scholengr. Bergen op Zoom;WOENSDRECHT;Noord-Brabant;VMBO;GL;Techniek;Techniek Breed -ISP;2;2;0;6,4;5,9;6,3
02FY;02FY01;OMO Scholengr. Bergen op Zoom;WOENSDRECHT;Noord-Brabant;VMBO;GL;Zorg & Welzijn;Zorg en Welzijn -ISP;4;3;1;5,7;5,6;5,7
02FY;02FY01;OMO Scholengr. Bergen op Zoom;WOENSDRECHT;Noord-Brabant;VMBO;KL;Economie;HBR;13;10;3;6,5;6,0;6,5
02FY;02FY01;OMO Scholengr. Bergen op Zoom;WOENSDRECHT;Noord-Brabant;VMBO;KL;Techniek;Techniek Breed -ISP;25;20;5;6,5;5,9;6,4
02FY;02FY01;OMO Scholengr. Bergen op Zoom;WOENSDRECHT;Noord-Brabant;VMBO;KL;Zorg & Welzijn;Zorg en Welzijn -ISP;21;17;4;6,4;6,1;6,4
02FY;02FY01;OMO Scholengr. Bergen op Zoom;WOENSDRECHT;Noord-Brabant;VMBO;TL;;;24;24;0;6,5;6,2;6,5
02FY;02FY02;OMO Scholengr. Bergen op Zoom;STEENBERGEN;Noord-Brabant;VMBO;BL;Economie;EO;8;8;0;6,5;6,9;6,7
02FY;02FY02;OMO Scholengr. Bergen op Zoom;STEENBERGEN;Noord-Brabant;VMBO;BL;Techniek;Techniek Breed -ISP;18;18;0;6,3;6,7;6,6
02FY;02FY02;OMO Scholengr. Bergen op Zoom;STEENBERGEN;Noord-Brabant;VMBO;BL;Zorg & Welzijn;ZWE;19;19;0;6,5;6,7;6,7
02FY;02FY02;OMO Scholengr. Bergen op Zoom;STEENBERGEN;Noord-Brabant;VMBO;GL;Economie;EO;1;0;1;6,0;4,8;5,6
02FY;02FY02;OMO Scholengr. Bergen op Zoom;STEENBERGEN;Noord-Brabant;VMBO;GL;Techniek;Techniek Breed -ISP;1;0;1;5,9;4,6;5,4
02FY;02FY02;OMO Scholengr. Bergen op Zoom;STEENBERGEN;Noord-Brabant;VMBO;GL;Zorg & Welzijn;ZWE;9;4;5;6,2;5,3;5,9
02FY;02FY02;OMO Scholengr. Bergen op Zoom;STEENBERGEN;Noord-Brabant;VMBO;KL;Economie;EO;11;11;0;6,5;6,5;6,6
02FY;02FY02;OMO Scholengr. Bergen op Zoom;STEENBERGEN;Noord-Brabant;VMBO;KL;Techniek;Techniek Breed -ISP;17;17;0;6,2;6,3;6,4
02FY;02FY02;OMO Scholengr. Bergen op Zoom;STEENBERGEN;Noord-Brabant;VMBO;KL;Zorg & Welzijn;ZWE;21;19;2;6,4;6,0;6,3
02FY;02FY02;OMO Scholengr. Bergen op Zoom;STEENBERGEN;Noord-Brabant;VMBO;TL;;;32;31;1;6,8;6,4;6,7
02FY;02FY04;OMO Scholengr. Bergen op Zoom;BERGEN OP ZOOM;Noord-Brabant;VMBO;TL;;;82;74;8;6,5;6,1;6,5
02GF;02GF00;Mgr Frencken College;OOSTERHOUT;Noord-Brabant;HAVO;;;Cultuur en Maatschappij;24;20;4;6,4;6,1;6,5
02GF;02GF00;Mgr Frencken College;OOSTERHOUT;Noord-Brabant;HAVO;;;Economie en Maatschappij;75;68;7;6,4;6,3;6,6
02GF;02GF00;Mgr Frencken College;OOSTERHOUT;Noord-Brabant;HAVO;;;Economie en Maatschappij / Cultuur en Maatschappij;3;3;0;6,7;6,1;6,7
02GF;02GF00;Mgr Frencken College;OOSTERHOUT;Noord-Brabant;HAVO;;;Natuur en Gezondheid;27;22;5;6,3;6,1;6,4
02GF;02GF00;Mgr Frencken College;OOSTERHOUT;Noord-Brabant;HAVO;;;Natuur en Techniek;16;15;1;6,3;6,3;6,6
02GF;02GF00;Mgr Frencken College;OOSTERHOUT;Noord-Brabant;HAVO;;;Natuur en Techniek / Natuur en Gezondheid;48;38;10;6,3;6,1;6,5
02GF;02GF00;Mgr Frencken College;OOSTERHOUT;Noord-Brabant;VWO;;;Cultuur en Maatschappij;6;5;1;6,5;6,1;6,4
02GF;02GF00;Mgr Frencken College;OOSTERHOUT;Noord-Brabant;VWO;;;Economie en Maatschappij;12;12;0;6,3;6,1;6,5
02GF;02GF00;Mgr Frencken College;OOSTERHOUT;Noord-Brabant;VWO;;;Economie en Maatschappij / Cultuur en Maatschappij;24;21;3;6,7;6,2;6,7
02GF;02GF00;Mgr Frencken College;OOSTERHOUT;Noord-Brabant;VWO;;;Natuur en Gezondheid;16;9;7;6,3;5,8;6,4
02GF;02GF00;Mgr Frencken College;OOSTERHOUT;Noord-Brabant;VWO;;;Natuur en Techniek;10;8;2;6,8;6,5;7,0
02GF;02GF00;Mgr Frencken College;OOSTERHOUT;Noord-Brabant;VWO;;;Natuur en Techniek / Natuur en Gezondheid;22;18;4;6,5;6,1;6,6
02GJ;02GJ00;Chr Coll De Populier;S GRAVENHAGE;Zuid-Holland;HAVO;;;Cultuur en Maatschappij;12;12;0;6,3;6,5;6,6
02GJ;02GJ00;Chr Coll De Populier;S GRAVENHAGE;Zuid-Holland;HAVO;;;Economie en Maatschappij;23;19;4;6,2;6,2;6,4
02GJ;02GJ00;Chr Coll De Populier;S GRAVENHAGE;Zuid-Holland;HAVO;;;Economie en Maatschappij / Cultuur en Maatschappij;8;6;2;6,4;6,2;6,6
02GJ;02GJ00;Chr Coll De Populier;S GRAVENHAGE;Zuid-Holland;HAVO;;;Natuur en Gezondheid;9;9;0;6,7;6,7;6,8
02GJ;02GJ00;Chr Coll De Populier;S GRAVENHAGE;Zuid-Holland;HAVO;;;Natuur en Techniek;9;8;1;6,4;6,7;6,7
02GJ;02GJ00;Chr Coll De Populier;S GRAVENHAGE;Zuid-Holland;HAVO;;;Natuur en Techniek / Natuur en Gezondheid;8;7;1;6,7;7,0;6,9
02GJ;02GJ00;Chr Coll De Populier;S GRAVENHAGE;Zuid-Holland;VMBO;TL;;;113;111;2;6,6;6,6;6,6
02GJ;02GJ00;Chr Coll De Populier;S GRAVENHAGE;Zuid-Holland;VWO;;;Cultuur en Maatschappij;1;1;0;6,6;6,8;6,8
02GJ;02GJ00;Chr Coll De Populier;S GRAVENHAGE;Zuid-Holland;VWO;;;Economie en Maatschappij;1;1;0;7,9;8,0;7,8
02GJ;02GJ00;Chr Coll De Populier;S GRAVENHAGE;Zuid-Holland;VWO;;;Economie en Maatschappij / Cultuur en Maatschappij;5;4;1;6,8;6,6;6,9
02GJ;02GJ00;Chr Coll De Populier;S GRAVENHAGE;Zuid-Holland;VWO;;;Natuur en Gezondheid;4;2;2;6,2;5,9;6,5
02GJ;02GJ00;Chr Coll De Populier;S GRAVENHAGE;Zuid-Holland;VWO;;;Natuur en Techniek;1;1;0;7,4;6,9;7,3
02GJ;02GJ00;Chr Coll De Populier;S GRAVENHAGE;Zuid-Holland;VWO;;;Natuur en Techniek / Natuur en Gezondheid;9;9;0;6,8;6,8;7,0
02GN;02GN00;SGM Kennemer Lyceum;BLOEMENDAAL;Noord-Holland;HAVO;;;Cultuur en Maatschappij;2;2;0;6,1;6,7;6,7
02GN;02GN00;SGM Kennemer Lyceum;BLOEMENDAAL;Noord-Holland;HAVO;;;Economie en Maatschappij;29;28;1;6,4;6,4;6,4
02GN;02GN00;SGM Kennemer Lyceum;BLOEMENDAAL;Noord-Holland;HAVO;;;Economie en Maatschappij / Cultuur en Maatschappij;3;3;0;6,8;6,7;6,7
02GN;02GN00;SGM Kennemer Lyceum;BLOEMENDAAL;Noord-Holland;HAVO;;;Natuur en Gezondheid;18;16;2;6,4;6,2;6,4
02GN;02GN00;SGM Kennemer Lyceum;BLOEMENDAAL;Noord-Holland;HAVO;;;Natuur en Techniek;1;1;0;6,7;7,0;6,8
02GN;02GN00;SGM Kennemer Lyceum;BLOEMENDAAL;Noord-Holland;HAVO;;;Natuur en Techniek / Natuur en Gezondheid;5;4;1;6,7;6,6;6,8
02GN;02GN00;SGM Kennemer Lyceum;BLOEMENDAAL;Noord-Holland;VWO;;;Cultuur en Maatschappij;5;5;0;6,9;6,6;6,8
